pageNum_db,pageLabel_printed,verse_id,segment_id,line,x1_norm,y1_norm,x2_norm,y2_norm,ends_here,part,x1_px,y1_px,x2_px,y2_px
4,6,S2V10,12,8,0.0588679245283018,0.52978515625,0.940377358490566,0.5908203125,False,start,78,1085,1246,1210
4,6,S2V10,13,9,0.4045283018867924,0.5908203125,0.940377358490566,0.6630859375,True,end,536,1210,1246,1358
4,6,S2V11,14,9,0.0588679245283018,0.5908203125,0.4045283018867924,0.6630859375,False,start,78,1210,536,1358
4,6,S2V11,15,10,0.0845283018867924,0.6630859375,0.940377358490566,0.71826171875,True,middle,112,1358,1246,1471
4,6,S2V11,16,10,0.0588679245283018,0.6630859375,0.0845283018867924,0.71826171875,False,middle,78,1358,112,1471
4,6,S2V12,17,11,0.1683018867924528,0.71826171875,0.940377358490566,0.78125,True,single,223,1471,1246,1600
4,6,S2V13,18,11,0.0588679245283018,0.71826171875,0.1683018867924528,0.78125,False,start,78,1471,223,1600
4,6,S2V13,19,12,0.0588679245283018,0.78125,0.940377358490566,0.84765625,False,middle,78,1600,1246,1736
4,6,S2V13,20,13,0.0588679245283018,0.84765625,0.940377358490566,0.92236328125,False,middle,78,1736,1246,1889
4,6,S2V5,0,1,0.0928301886792452,0.068359375,0.940377358490566,0.14306640625,True,start,123,140,1246,293
4,6,S2V5,1,1,0.0588679245283018,0.078125,0.0928301886792452,0.14306640625,False,middle,78,160,123,293
4,6,S2V6,2,2,0.0588679245283018,0.14306640625,0.940377358490566,0.20947265625,False,start,78,293,1246,429
4,6,S2V6,3,3,0.5471698113207547,0.20947265625,0.940377358490566,0.27490234375,True,end,725,429,1246,563
4,6,S2V7,4,3,0.0588679245283018,0.20947265625,0.5471698113207547,0.27490234375,False,start,78,429,725,563
4,6,S2V7,5,4,0.0588679245283018,0.27490234375,0.940377358490566,0.341796875,False,middle,78,563,1246,700
4,6,S2V7,6,5,0.7426415094339622,0.341796875,0.9547169811320756,0.40087890625,True,end,984,700,1265,821
4,6,S2V8,7,5,0.0588679245283018,0.341796875,0.7426415094339622,0.40087890625,False,start,78,700,984,821
4,6,S2V8,8,6,0.3516981132075472,0.40087890625,0.9569811320754718,0.4638671875,True,end,466,821,1268,950
4,6,S2V9,9,6,0.0588679245283018,0.40087890625,0.3516981132075472,0.4638671875,False,start,78,821,466,950
4,6,S2V9,10,7,0.0890566037735849,0.4638671875,0.9577358490566038,0.52978515625,True,middle,118,950,1269,1085
4,6,S2V9,11,7,0.0437735849056603,0.4638671875,0.0890566037735849,0.52978515625,False,middle,58,950,118,1085
