PAGE N°;JUZ;"ROUB' /
QUARTER";SURAH;"STARTING 
AT VERSE";"ENDING 
AT VERSE";;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;1;1;1;7;;;;;;;;;;;;;;;;;;;;
3;1;1;2;1;4;;;;;;;;;;;;;;;;;;;;
4;1;1;;;;;;;;;;;;;;;;;;;;;;;
5;1;1;;;;;;;;;;;;;;;;;;;;;;;
6;1;1;;;;;;;;;;;;;;;;;;;;;;;
7;1;1;;;;;;;;;;;;;;;;;;;;;;;
8;1;1;;;;;;;;;;;;;;;;;;;;;;;
9;1;1;;;;;;;;;;;;;;;;;;;;;;;
10;1;2;;;;;;;;;;;;;;;;;;;;;;;
11;1;2;;;;;;;;;;;;;;;;;;;;;;;
12;1;2;;;;;;;;;;;;;;;;;;;;;;;
13;1;2;;;;;;;;;;;;;;;;;;;;;;;
14;1;2;;;;;;;;;;;;;;;;;;;;;;;
15;1;2;;;;;;;;;;;;;;;;;;;;;;;
16;1;3;;;;;;;;;;;;;;;;;;;;;;;
17;1;3;;;;;;;;;;;;;;;;;;;;;;;
18;1;3;;;;;;;;;;;;;;;;;;;;;;;
19;1;3;;;;;;;;;;;;;;;;;;;;;;;
20;1;3;;;;;;;;;;;;;;;;;;;;;;;
21;1;3;;;;;;;;;;;;;;;;;;;;;;;
22;1;3;;;;;;;;;;;;;;;;;;;;;;;
23;1;4;;;;;;;;;;;;;;;;;;;;;;;
24;1;4;;;;;;;;;;;;;;;;;;;;;;;
25;1;4;;;;;;;;;;;;;;;;;;;;;;;
26;1;4;;;;;;;;;;;;;;;;;;;;;;;
27;1;4;;;;;;;;;;;;;;;;;;;;;;;
28;1;4;;;;;;;;;;;;;;;;;;;;;;;
29;2;1;;;;;;;;;;;;;;;;;;;;;;;
30;2;1;;;;;;;;;;;;;;;;;;;;;;;
31;2;1;;;;;;;;;;;;;;;;;;;;;;;
32;2;1;;;;;;;;;;;;;;;;;;;;;;;
33;2;1;;;;;;;;;;;;;;;;;;;;;;;
34;2;1;;;;;;;;;;;;;;;;;;;;;;;
35;2;1;;;;;;;;;;;;;;;;;;;;;;;
36;2;2;;;;;;;;;;;;;;;;;;;;;;;
37;2;2;;;;;;;;;;;;;;;;;;;;;;;
38;2;2;;;;;;;;;;;;;;;;;;;;;;;
39;2;2;;;;;;;;;;;;;;;;;;;;;;;
40;2;2;;;;;;;;;;;;;;;;;;;;;;;
41;2;2;;;;;;;;;;;;;;;;;;;;;;;
42;2;2;;;;;;;;;;;;;;;;;;;;;;;
43;2;2;;;;;;;;;;;;;;;;;;;;;;;
44;2;3;;;;;;;;;;;;;;;;;;;;;;;
45;2;3;;;;;;;;;;;;;;;;;;;;;;;
46;2;3;;;;;;;;;;;;;;;;;;;;;;;
47;2;3;;;;;;;;;;;;;;;;;;;;;;;
48;2;3;;;;;;;;;;;;;;;;;;;;;;;
49;2;3;;;;;;;;;;;;;;;;;;;;;;;
50;2;4;;;;;;;;;;;;;;;;;;;;;;;
51;2;4;;;;;;;;;;;;;;;;;;;;;;;
52;2;4;;;;;;;;;;;;;;;;;;;;;;;
53;2;4;;;;;;;;;;;;;;;;;;;;;;;
54;2;4;;;;;;;;;;;;;;;;;;;;;;;
55;2;4;;;;;;;;;;;;;;;;;;;;;;;
56;2;4;;;;;;;;;;;;;;;;;;;;;;;
57;3;1;;;;;;;;;;;;;;;;;;;;;;;
58;3;1;;;;;;;;;;;;;;;;;;;;;;;
59;3;1;;;;;;;;;;;;;;;;;;;;;;;
60;3;1;;;;;;;;;;;;;;;;;;;;;;;
61;3;1;;;;;;;;;;;;;;;;;;;;;;;
62;3;1;;;;;;;;;;;;;;;;;;;;;;;
63;3;2;;;;;;;;;;;;;;;;;;;;;;;
64;3;2;;;;;;;;;;;;;;;;;;;;;;;
65;3;2;;;;;;;;;;;;;;;;;;;;;;;
66;3;2;;;;;;;;;;;;;;;;;;;;;;;
67;3;2;;;;;;;;;;;;;;;;;;;;;;;
68;3;2;;;;;;;;;;;;;;;;;;;;;;;
69;3;2;;;;;;;;;;;;;;;;;;;;;;;
70;3;2;;;;;;;;;;;;;;;;;;;;;;;
71;3;3;;;;;;;;;;;;;;;;;;;;;;;
72;3;3;;;;;;;;;;;;;;;;;;;;;;;
73;3;3;;;;;;;;;;;;;;;;;;;;;;;
74;3;3;;;;;;;;;;;;;;;;;;;;;;;
75;3;3;;;;;;;;;;;;;;;;;;;;;;;
76;3;3;;;;;;;;;;;;;;;;;;;;;;;
77;3;3;;;;;;;;;;;;;;;;;;;;;;;
78;3;4;;;;;;;;;;;;;;;;;;;;;;;
79;3;4;;;;;;;;;;;;;;;;;;;;;;;
80;3;4;;;;;;;;;;;;;;;;;;;;;;;
81;3;4;;;;;;;;;;;;;;;;;;;;;;;
82;3;4;;;;;;;;;;;;;;;;;;;;;;;
83;3;4;;;;;;;;;;;;;;;;;;;;;;;
84;3;4;;;;;;;;;;;;;;;;;;;;;;;
85;4;1;;;;;;;;;;;;;;;;;;;;;;;
86;4;1;;;;;;;;;;;;;;;;;;;;;;;
87;4;1;;;;;;;;;;;;;;;;;;;;;;;
